probe,session_id,agent,model,seq,tool_use_id,tool_kind,file_path,result_chars,result_bytes,gzip_bytes,gzip_ratio,bucket
bash,019d708c-60fa-7060-b07a-dc90874c337f,codex,gpt-5.4,1009,call_RvvwalFusGqspiZ5i1J91mTk,bash,,216,216,186,1.1612903225806452,<2
bash,019d71d5-2ff2-79d2-8b3b-1b284e39f2d8,codex,gpt-5.4,315,call_VwyQLLw8thtvwZ0o1l8W94gx,bash,,1972,1972,386,5.108808290155441,5-10
bash,019d7247-b345-7180-a5d6-e3ee222e89fb-2c9b3d0af596,codex,gpt-5.4,100,call_0MR7YtbfGm9xsdSp10NmMb9z,bash,,739,739,410,1.802439024390244,<2
bash,019d724a-df1e-7e20-b01c-6caf0bb02e7a,codex,gpt-5.4,504,call_BOH99JY14B4Z8mFFiwlSDbcs,bash,,23343,23343,4417,5.2848086936834955,5-10
bash,019d724a-df1e-7e20-b01c-6caf0bb02e7a,codex,gpt-5.4,2185,call_IbiLEfPKYz7iMV9B4NZrRIQB,bash,,5218,5218,986,5.292089249492901,5-10
bash,019d724a-df1e-7e20-b01c-6caf0bb02e7a,codex,gpt-5.4,3066,call_A75jPXPKMviDqCFrD3zJqE0Y,bash,,3835,3835,1250,3.068,3-5
bash,019d724a-df1e-7e20-b01c-6caf0bb02e7a,codex,gpt-5.4,5413,call_3yWkxT7wyoGD5gMkm9OK6PZ5,bash,,277,277,223,1.242152466367713,<2
bash,019d72de-e540-7c32-b80c-87dc533b41b0,codex,gpt-5.4,51,call_ZkdnDD6aShCCj3lfl7jWmcPk,bash,,311,311,226,1.3761061946902655,<2
bash,019d72f9-b0e2-7d02-9862-634ad78dad34,codex,gpt-5.4,137,call_6tsCDkILCXp6uYQqrrYeQBYs,bash,,205,205,175,1.1714285714285715,<2
bash,019d731b-5022-79d2-8ee1-13b20e992812,codex,gpt-5.4,50,call_Q8PXbnpdvoRkH1CLIoFALhru,bash,,208,208,178,1.1685393258426966,<2
bash,019d731b-5022-79d2-8ee1-13b20e992812,codex,gpt-5.4,108,call_xcfoirqpBMk8LcwsQXifB1oz,bash,,2645,2645,688,3.8444767441860463,3-5
bash,019d7372-a0bb-72c0-847d-5e4439ef5efd,codex,gpt-5.4,968,call_mKK6HWZ8vF358lAsSm6phLYF,bash,,5205,5205,1393,3.7365398420674802,3-5
bash,019d739c-fcba-7271-93fd-c3b51e9df0ba,codex,gpt-5.4,89,call_Uee2dQRuQutcN1vUQGm9te79,bash,,232,232,185,1.2540540540540541,<2
bash,019d74d0-2789-7e73-b844-fa895bef742a,codex,gpt-5.4,135,call_MZ2QsfF9bhN1I8EcqhV6AXHb,bash,,4805,4805,1672,2.873803827751196,2-3
bash,019d74d0-2789-7e73-b844-fa895bef742a,codex,gpt-5.4,154,call_iGl1Sz58RxfT0YdcR5uVuqOy,bash,,324,324,235,1.3787234042553191,<2
bash,019d7560-2930-7680-b289-b22ed6ecfe91,codex,gpt-5.4,207,call_gRFN9QYhwQOL6xtxIs4siesG,bash,,1238,1238,600,2.0633333333333335,2-3
bash,019d75b7-7fe1-7863-8599-57cab558b6ab,codex,gpt-5.4,422,call_43csLAkKQl0QL0hsszvPfFge,bash,,236,236,177,1.3333333333333333,<2
bash,019d7653-0973-7ae1-b1f5-d12c606d626b-66452bea7dec,codex,gpt-5.4,442,call_h78TJ2ZbE2nQGIwx2IV5fRXW,bash,,1766,1766,889,1.9865016872890888,<2
bash,019d7653-0973-7ae1-b1f5-d12c606d626b-66452bea7dec,codex,gpt-5.4,606,call_hcuxHZE06GwOkbg4hOA3coMI,bash,,4653,4653,949,4.903055848261328,3-5
bash,019d76bc-ab0b-7e43-8346-fbc61c48ce34-3fd06aa7b734,codex,gpt-5.4,68,call_FI0IO0caS5FGBqoXuVR3nZ6I,bash,,2930,2930,1115,2.6278026905829597,2-3
bash,019d76bc-ab0b-7e43-8346-fbc61c48ce34-3fd06aa7b734,codex,gpt-5.4,198,call_nXTe5L69wERIXXC76WAUj6PH,bash,,5251,5251,1827,2.8741105637657363,2-3
bash,019d76bc-ab0b-7e43-8346-fbc61c48ce34-e8d3f36bb591,codex,gpt-5.4,643,call_tfBPtiNDanziIA7VIXLUBp3u,bash,,714,716,331,2.163141993957704,2-3
bash,019d76bc-ab0b-7e43-8346-fbc61c48ce34-e8d3f36bb591,codex,gpt-5.4,648,call_HbR6Occ1JkXhlPC0ZolkrhK7,bash,,704,704,446,1.5784753363228698,<2
bash,019d776c-0263-7043-b71f-ad630a286d04-bb4f906e3d39,codex,gpt-5.4,35,call_ku41bFllY31JkSXGAJUL8W8i,bash,,11195,11200,3089,3.625768857235351,3-5
bash,019d77be-95ad-7ea2-a4b7-95a3846cd368,codex,gpt-5.4,42,call_5yum74MXKV3KTegB2Qmul75C,bash,,13468,13468,3788,3.555438225976769,3-5
bash,019d7879-f1ee-7aa0-92d1-e6d8dcb41876,codex,gpt-5.4,26,call_uJfWWGSSZwhRCPVbBG5TcDjT,bash,,3471,3471,1009,3.4400396432111,3-5
bash,019d78e0-95d6-74c3-a03d-ceee433f6ecc,codex,gpt-5.4,32,call_mtAMLMLWimzfihd1fJXuRL3K,bash,,2253,2253,876,2.5719178082191783,2-3
bash,019d78e0-95d6-74c3-a03d-ceee433f6ecc,codex,gpt-5.4,91,call_OetNA4hmrD1ZUEKmNrE9RoIU,bash,,2931,2931,784,3.7385204081632653,3-5
bash,019d7907-f96d-7242-a6bc-ae2ff0294b31,codex,gpt-5.4,140,call_OSK73Y2Srn2NF3teOtdTPwvj,bash,,230,230,181,1.270718232044199,<2
bash,019d7cf1-b677-7bc1-81df-c5dc4376f176,codex,gpt-5.4,197,call_MsSsnr3y1CeNPrrDXAGv6Jjr,bash,,329,329,262,1.2557251908396947,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,4786,call_AiJ9LTQeDvkFW03W4MtqmZl0,bash,,1207,1207,700,1.7242857142857142,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,4905,call_2d37NTpa4mOIO7BqUrYWyQH5,bash,,1131,1131,532,2.1259398496240602,2-3
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,5303,call_uZnoDBrzBetJQ5kpikWMQI6L,bash,,339,339,241,1.4066390041493777,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,6026,call_8SaI4YTbrHznhb0wOerB60Kl,bash,,245,245,183,1.3387978142076502,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,6321,call_uOgJHbhVQWfAAdnBJScaESF7,bash,,174,174,152,1.144736842105263,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,7012,call_lYNKr9Vxxn4JqobRUP696NsN,bash,,215,215,177,1.2146892655367232,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,7403,call_9zfQ810i01pZOaYpqLXfx5WL,bash,,348,348,242,1.43801652892562,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,8310,call_TWfAmvTgPqLXwkqdwqM7ZUWF,bash,,159,159,143,1.1118881118881119,<2
bash,019d7d08-46c9-7f73-affe-4e6ca9852d56,codex,gpt-5.4,9028,call_GLjaOfVn7JSTFKf5I71mQ2i8,bash,,344,344,239,1.4393305439330544,<2
bash,019d7d4c-fef7-7d21-908c-d8850b805a6d,codex,gpt-5.4,135,call_ijtMTKH8b4LCmfTIvG1YTSeW,bash,,975,975,537,1.8156424581005586,<2
bash,019d7dbf-7740-75c1-8da4-7be31d857597,codex,gpt-5.4,77,call_SgXAfPNFrauP0J33a3eUe8qT,bash,,150,150,137,1.094890510948905,<2
bash,019d7e30-2f7a-7f60-a942-c59ab0be98d9,codex,gpt-5.4,472,call_07evx0MKA6cHOxBntUaugwiA,bash,,325,325,226,1.4380530973451326,<2
bash,019d7e30-2f7a-7f60-a942-c59ab0be98d9,codex,gpt-5.4,483,call_tmLso5bRDDtCnLWFMM0xdW5k,bash,,327,327,229,1.4279475982532752,<2
bash,019d7e3a-8c28-7662-aaba-a2d9ed140081,codex,gpt-5.4,418,call_4bOp4aKBImZMVELkji6JvKjx,bash,,2403,2403,773,3.108667529107374,3-5
bash,019d7e3d-0164-79d1-af76-e4ee6689b94f,codex,gpt-5.4,313,call_fnZ6RlFwHgxJFgq3NN1XRsYX,bash,,9025,9025,2056,4.389591439688716,3-5
bash,019d7e3e-fae8-7a02-86dc-fa6bbec0caab,codex,gpt-5.4,244,call_2sh1d2eEGLjbKvARveDcC5gX,bash,,201,201,173,1.1618497109826589,<2
bash,019d7e3e-fae8-7a02-86dc-fa6bbec0caab,codex,gpt-5.4,282,call_fPUsqXLOVNHCfHUp63E4m3UX,bash,,6534,6534,1126,5.802841918294849,5-10
bash,019d7e48-96e2-77a0-b4ce-607c7aba4b96,codex,gpt-5.4,417,call_wNVJHyQiyL5WF9Mgmc9OA2g9,bash,,3003,3003,1044,2.8764367816091956,2-3
bash,019d7e48-96e2-77a0-b4ce-607c7aba4b96,codex,gpt-5.4,1748,call_1YNuSOhpBr7Y1kraVUxmCUKT,bash,,2672,2672,827,3.2309552599758162,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,13,call_vBSioZLcWK4X4l45KQUTF8YX,bash,,2953,2953,1052,2.8070342205323193,2-3
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,1159,call_doYTNWV9hAYImpZ1b0JoaDNX,bash,,11009,11009,4233,2.600755965036617,2-3
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,1820,call_oKvhGPi6WKYIik7zSbWskD3H,bash,,148,148,137,1.0802919708029197,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,1965,call_uMiYKQ9jIRE8IfZKj367DWCx,bash,,421,426,314,1.356687898089172,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,4320,call_qtezUgpZZlvIeHmAWXztLDHU,bash,,7853,7853,2165,3.6272517321016164,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,4608,call_YweoDJuEJQvJhg0ibaxkOrz7,bash,,378,378,266,1.4210526315789473,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,6392,call_rvcUiUBNDQOWqAvXipwx6y5v,bash,,105,105,87,1.206896551724138,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,6918,call_45AZUnyMfgCln0OTGqqnH9Kb,bash,,2332,2332,557,4.186714542190305,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,8520,call_tlSLa6XFQ26TI1zMMRPd3z0x,bash,,1875,1926,1033,1.8644724104549855,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,10674,call_jcMJjHk6xwik4oUQqVAFOJ91,bash,,2825,2845,809,3.5166872682323858,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,12659,call_AhZlCQmzHuR5ICXb3AG6L9su,bash,,4996,5262,1089,4.8319559228650135,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,13381,call_cqpqarp7gz4VhNfYcDXGB56K,bash,,3066,3222,916,3.517467248908297,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,14078,call_dWKXs9L6m4oKzhqjJwhcqboz,bash,,143,143,132,1.0833333333333333,<2
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,16221,call_M4OithfoQ8keQLn8YxYk50Tp,bash,,7476,7476,2513,2.9749303621169916,2-3
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,16261,call_ZeJJj77NTxUD1k2KlsXpZtX0,bash,,4199,4199,990,4.2414141414141415,3-5
bash,019d7ea2-dd77-7633-9509-834b381e1a3b,codex,gpt-5.4,16912,call_PlMcVWaGxJHhmg6C3sDbrxdn,bash,,297,297,216,1.375,<2
